CountryName,year,Life Ladder,Log GDP,Social support,life exp,Free Life choice,Generosity,Corruption%,Posi affect,Nega affect,Confi in gov,Democratic,Delivery,GINI 00-17,gini(hhold income),Trust(81-84),Trust(94-98),Trust(05-09)
Chad,2018,4.486325264,7.465358734,0.57725358,48.20000076,0.650354564,0.01177894,0.762879312,0.552737296,0.543836236,0.57743603,-1.466732502,-1.339207411,0.4155,0.60765475,,,
Chile,2018,6.436220646,10.03774738,0.890084922,69.90000153,0.78853035,-0.064061932,0.816297412,0.832562208,0.275820225,0.334744155,0.740085483,1.138784051,0.488375,0.434312701,,0.213770002,0.124709077
China,2018,5.131433964,9.691950798,0.787605345,69.30000305,0.895377696,-0.17087473,,0.85578388,0.189639792,,-0.855219722,-0.032678012,0.413,0.538205683,,0.504000008,0.496780038
Colombia,2018,5.983512402,9.497987747,0.870970428,67.69999695,0.850765765,-0.15052399,0.854820907,0.825455189,0.300624102,0.274869502,-0.311002165,-0.116685003,0.5384375,0.506853819,,0.10721992,0.143140495
Comoros,2018,3.972819567,7.829497337,0.621302962,57.20000076,0.560182333,0.094397821,0.793758333,0.74774158,0.337493658,0.317273706,-0.320303619,-1.163472414,0.506,0.598217666,,,
Congo (Brazzaville),2018,5.490214348,8.521998405,0.620622933,57.90000153,0.69870007,-0.126356408,0.738020182,0.587506592,0.447646171,0.473673612,-0.811939716,-1.259836912,0.481,0.597126544,,,
Costa Rica,2018,7.141074657,9.660432816,0.875872433,71.30000305,0.941888332,-0.099738315,0.781301796,0.870097816,0.32586664,0.479977787,0.815546334,0.472013324,0.490444444,0.786516607,,,
Croatia,2018,5.536271095,10.0705595,0.909806848,70.19999695,0.690855622,-0.148373082,0.925408304,0.582044125,0.290375978,0.248180911,0.635420918,0.340172559,0.321428571,0.322490156,,0.228260875,
Cyprus,2018,6.276443005,,0.825573206,73.69999695,0.794215024,,0.848337233,0.750122488,0.298021138,0.352440447,0.790700197,0.832913756,0.326166667,0.448661059,,,0.098875061
Czech Republic,2018,7.034165382,10.41737366,0.929163933,70.30000305,0.790132403,-0.289075017,0.851382256,0.713700116,0.178068101,0.420783311,0.985227764,0.934275389,0.264166667,0.254285723,,0.285191953,
Denmark,2018,7.648785591,10.77279568,0.958218873,72.40000153,0.935437799,0.020069527,0.150607437,0.821422637,0.20605281,0.632478476,1.2854321,1.882463813,0.267,0.479050666,,,
Dominican Republic,2018,5.433215618,9.669106483,0.861986339,65.80000305,0.866641581,-0.150283426,0.76227355,0.744871855,0.291403025,0.42177102,0.086112991,-0.405775726,0.486647059,0.52009505,,0.25179857,
Ecuador,2018,6.128010273,9.250733376,0.851345003,68.5,0.869363725,-0.099192053,0.830743194,0.876474917,0.328171045,0.402085185,-0.024169283,-0.585888147,0.4929375,0.438511908,,,
Egypt,2018,4.005450726,9.306898117,0.75882405,61.70000076,0.681654453,-0.220730901,,0.492260754,0.285183787,,-1.224556804,-0.612763584,0.3064,0.323928565,,,0.185012802
El Salvador,2018,6.241199493,8.908275604,0.820299745,66.09999847,0.863334596,-0.091392115,0.800699532,0.860207438,0.26958558,0.368898541,-0.146522194,-0.475450605,0.4535,0.464433402,,0.141148329,
Estonia,2018,6.091302395,10.34143639,0.932693779,68.59999847,0.885618389,-0.140961498,0.620677948,0.794730246,0.16318211,0.420202583,0.906468153,1.375397682,0.332461538,0.367194861,,0.21057786,
Ethiopia,2018,4.379262447,7.492364883,0.740154505,58.5,0.740343094,0.045616966,0.799466252,0.659520864,0.271753967,0.875270963,-1.251057625,-0.623892725,0.326666667,0.440552592,,,0.225263163
Finland,2018,7.85810709,10.64022255,0.962155044,71.90000153,0.937807381,-0.126522318,0.198604837,0.781546414,0.181780651,0.555102229,1.268653631,2.007365465,0.275615385,0.362294197,0.571719229,0.479229987,0.580378592
