CountryName,year,Life Ladder,Log GDP,Social support,life exp,Free Life choice,Generosity,Corruption%,Posi affect,Nega affect,Confi in gov,Democratic,Delivery,GINI 00-17,gini(hhold income),Trust(81-84),Trust(94-98),Trust(05-09)
Ukraine,2018,4.661909103,9.011637688,0.900936723,64.59999847,0.663055062,-0.052373677,0.942960739,0.608771086,0.221851483,0.079710059,-0.919957578,-0.556694865,0.265,0.349749237,,0.287797928,0.266814858
United Arab Emirates,2018,6.603743553,11.10669899,0.851041317,67.09999847,0.943664372,0.044405125,,0.787243485,0.302041829,,-0.18304804,1.080240965,,0.721078634,,,
United Kingdom,2018,7.233445168,10.6005764,0.928483903,72.30000305,0.83750838,0.227180555,0.404276013,0.783171833,0.228275612,0.420859873,0.716346979,1.642240286,0.341083333,0.417473197,,0.304498315,0.300558358
United States,2018,6.882684708,10.92739487,0.903856039,68.30000305,0.824606657,0.113377593,0.709928274,0.8153826,0.292226255,0.3138161,0.758394837,1.482864618,0.408166667,0.701417923,0.453547865,0.349512935,0.393451452
Uruguay,2018,6.371714592,9.94827652,0.917315602,69,0.876210928,-0.103305973,0.682916045,0.876920342,0.274945587,0.361706048,1.12942934,0.730532765,0.424666667,0.437541783,,0.216404811,0.284393072
Uzbekistan,2018,6.205460072,8.73878479,0.920821011,65.09999847,0.969897985,0.3164258,0.520360112,0.825421572,0.208660305,0.969356358,-0.949705243,-0.948073864,0.348,0.385756522,,,
Venezuela,2018,5.005663395,,0.886882067,66.5,0.610855222,,0.827560008,0.759221494,0.373657614,0.260699689,-1.378953934,-1.930505514,0.497166667,,,0.13333334,
Vietnam,2018,5.295547009,8.79613018,0.83194524,67.90000153,0.909259796,-0.037812717,0.808422983,0.692222416,0.191061363,,-0.62111789,-0.219483897,0.36275,0.415666252,,,0.510053635
Yemen,2018,3.057513952,7.734108448,0.789421916,56.70000076,0.55272609,-0.148377404,0.792586863,0.461113781,0.31486994,0.308151186,-2.376622438,-1.802230954,0.357,0.448596567,,,
Zambia,2018,4.041488171,8.228970528,0.717720389,55.29999924,0.79062593,0.037524644,0.810731292,0.702697575,0.350962847,0.606715262,-0.089234382,-0.500723898,0.5274,0.619443059,,,0.110429451
Zimbabwe,2018,3.616479874,7.896704197,0.775388479,55.59999847,0.762674868,-0.063282222,0.844208658,0.710118651,0.211725846,0.550507784,-0.920905113,-1.323000431,0.432,0.541771829,,,
