Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region
Turkey,2020,4.862,10.219,0.857,67.6,0.51,-0.111,0.774,0.384,0.44,Developing,Asia,Europe
Uganda,2020,4.641,7.684,0.8,56.5,0.687,0.147,0.878,0.699,0.425,Developing,Africa,Africa
Ukraine,2020,5.27,9.428,0.885,65.2,0.784,0.126,0.946,0.688,0.285,Developed,Europe,Europe
United Arab Emirates,2020,6.458,11.053,0.827,67.5,0.942,0.06,,0.752,0.298,#N/A,Asia,Middle east
United Kingdom,2020,6.798,10.626,0.929,72.7,0.885,0.203,0.49,0.758,0.225,#N/A,Europe,Europe
United States,2020,7.028,11.001,0.937,68.1,0.85,0.034,0.678,0.787,0.295,#N/A,North America,North America
Uruguay,2020,6.31,9.937,0.921,69.2,0.908,-0.084,0.491,0.807,0.265,Developing,South America,South/Latin America
Venezuela,2020,4.574,,0.805,66.9,0.612,,0.811,0.722,0.396,#N/A,South America,South/Latin America
Zambia,2020,4.838,8.117,0.767,56.3,0.75,0.056,0.81,0.691,0.345,Developing,Africa,Africa
Zimbabwe,2020,3.16,7.829,0.717,56.8,0.643,-0.009,0.789,0.703,0.346,Developing,Africa,Africa
