Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region,Rank
Taiwan Province of China,2019,6.537,,0.893,,0.814,,0.718,0.86,0.093,Developed,Asia,Asia & Pacific,27
Spain,2019,6.457,10.618,0.949,74.7,0.778,-0.049,0.73,0.663,0.316,Developed,Europe,Europe,28
El Salvador,2019,6.455,9.08,0.764,66.4,0.877,-0.109,0.682,0.871,0.271,Developing,North America,South/Latin America,29
Brazil,2019,6.451,9.592,0.899,66.6,0.83,-0.062,0.762,0.761,0.337,Developing,South America,South/Latin America,30
Italy,2019,6.445,10.655,0.838,73.8,0.709,-0.082,0.866,0.631,0.328,Developed,Europe,Europe,31
Mexico,2019,6.432,9.891,0.852,68.6,0.903,-0.141,0.809,0.864,0.252,Developing,North America,South/Latin America,32
Kosovo,2019,6.425,9.339,0.843,,0.841,0.247,0.92,0.749,0.141,#N/A,Europe,Europe,33
Singapore,2019,6.378,11.486,0.925,77.1,0.938,0.027,0.07,0.723,0.138,Developing,Asia,Asia & Pacific,34
Colombia,2019,6.35,9.598,0.873,68,0.822,-0.172,0.854,0.822,0.322,Developing,South America,South/Latin America,35
Jamaica,2019,6.309,9.186,0.878,67.5,0.891,-0.137,0.885,0.752,0.195,Developing,North America,South/Latin America,36
Kazakhstan,2019,6.272,10.179,0.951,65.2,0.852,-0.055,0.708,0.787,0.139,Developing,Asia,Asia & Pacific,37
Philippines,2019,6.268,9.095,0.845,62,0.91,-0.083,0.748,0.781,0.341,Developing,Asia,Asia & Pacific,38
Guatemala,2019,6.262,9.064,0.774,65.1,0.901,-0.062,0.773,0.859,0.311,Developing,North America,South/Latin America,39
Slovakia,2019,6.243,10.398,0.933,69.2,0.771,-0.129,0.926,0.75,0.252,Developed,Europe,Europe,40
Poland,2019,6.242,10.407,0.878,69.7,0.883,-0.231,0.696,0.725,0.168,Developed,Europe,Europe,41
Mauritius,2019,6.241,10.043,0.913,66.7,0.893,-0.053,0.81,0.808,0.149,Developing,Africa,Africa,42
Serbia,2019,6.241,9.808,0.903,68.6,0.753,-0.04,0.813,0.509,0.242,Developed,Europe,Europe,43
Uzbekistan,2019,6.154,8.853,0.915,65.4,0.97,0.304,0.511,0.845,0.22,Developing,Asia,Asia & Pacific,44
Cyprus,2019,6.137,10.585,0.776,73.9,0.74,-0.008,0.865,0.763,0.29,Developed,Europe,Europe,45
Romania,2019,6.13,10.306,0.842,67.5,0.848,-0.221,0.954,0.697,0.244,Developed,Europe,Europe,46
Nicaragua,2019,6.113,8.595,0.874,67.8,0.883,0.029,0.622,0.835,0.337,Developing,North America,South/Latin America,47
Kuwait,2019,6.106,10.817,0.842,66.9,0.867,-0.104,,0.695,0.303,Developing,Asia,Middle east,48
Portugal,2019,6.095,10.457,0.876,72.6,0.882,-0.234,0.915,0.71,0.3,Developed,Europe,Europe,49
Argentina,2019,6.086,10,0.896,69,0.817,-0.211,0.83,0.826,0.319,Developing,South America,South/Latin America,50
Finland,2020,7.889,10.75,0.962,72.1,0.962,-0.116,0.164,0.744,0.193,Developed,Europe,Europe,1
Iceland,2020,7.575,10.824,0.983,73,0.949,0.16,0.644,0.863,0.172,Developed,Europe,Europe,2
Denmark,2020,7.515,10.91,0.947,73,0.938,0.052,0.214,0.818,0.227,Developed,Europe,Europe,3
Switzerland,2020,7.508,11.081,0.946,74.7,0.917,-0.064,0.28,0.769,0.193,Developed,Europe,Europe,4
Netherlands,2020,7.504,10.901,0.944,72.5,0.935,0.151,0.281,0.784,0.247,Developed,Europe,Europe,5
Sweden,2020,7.314,10.838,0.936,72.8,0.951,0.091,0.203,0.766,0.222,Developed,Europe,Europe,6
Germany,2020,7.312,10.833,0.905,72.8,0.864,-0.06,0.424,0.76,0.206,Developed,Europe,Europe,7
Norway,2020,7.29,11.042,0.956,73.4,0.965,0.075,0.271,0.823,0.216,Developed,Europe,Europe,8
New Zealand,2020,7.257,10.6,0.952,73.6,0.918,0.125,0.283,0.849,0.209,Developed,Oceania,Asia & Pacific,9
Austria,2020,7.213,10.851,0.925,73.6,0.912,0.011,0.464,0.769,0.206,Developed,Europe,Europe,10
Israel,2020,7.195,10.538,0.959,73.7,0.831,-0.049,0.748,0.621,0.243,Developed,Asia,Europe,11
Australia,2020,7.137,10.76,0.937,74.2,0.905,0.21,0.491,0.769,0.205,Developed,Oceania,Asia & Pacific,12
Ireland,2020,7.035,11.323,0.96,72.5,0.882,0.014,0.356,0.797,0.246,Developed,Europe,Europe,13
United States,2020,7.028,11.001,0.937,68.1,0.85,0.034,0.678,0.787,0.295,Developed,North America,North America,14
Canada,2020,7.025,10.73,0.931,74,0.887,0.05,0.434,0.796,0.307,Developed,North America,North America,15
Czech Republic,2020,6.897,10.53,0.964,71.3,0.906,-0.127,0.884,0.832,0.29,Developed,Europe,Europe,16
Belgium,2020,6.839,10.771,0.904,72.4,0.767,-0.164,0.634,0.647,0.26,Developed,Europe,Europe,17
United Kingdom,2020,6.798,10.626,0.929,72.7,0.885,0.203,0.49,0.758,0.225,Developed,Europe,Europe,18
Taiwan Province of China,2020,6.751,,0.901,,0.799,,0.711,0.845,0.083,Developed,Asia,Asia & Pacific,19
France,2020,6.714,10.643,0.947,74.2,0.823,-0.169,0.565,0.732,0.231,Developed,Europe,Europe,20
Saudi Arabia,2020,6.56,10.701,0.89,66.9,0.884,-0.111,,0.754,0.251,Developing,Asia,Middle east,21
Slovakia,2020,6.519,10.332,0.954,69.5,0.762,-0.075,0.901,0.764,0.274,Developed,Europe,Europe,22
Croatia,2020,6.508,10.166,0.923,71.4,0.837,-0.063,0.961,0.743,0.286,Developed,Europe,Europe,23
Spain,2020,6.502,10.488,0.935,75,0.783,-0.121,0.73,0.686,0.317,Developed,Europe,Europe,24
Italy,2020,6.488,10.563,0.89,74,0.718,-0.15,0.844,0.67,0.311,Developed,Europe,Europe,25
Slovenia,2020,6.462,10.478,0.953,71.7,0.958,-0.081,0.797,0.61,0.314,Developed,Europe,Europe,26
United Arab Emirates,2020,6.458,11.053,0.827,67.5,0.942,0.06,,0.752,0.298,Developed,Asia,Middle east,27
Estonia,2020,6.453,10.459,0.958,69,0.954,-0.082,0.398,0.807,0.188,Developed,Europe,Europe,28
Lithuania,2020,6.391,10.504,0.953,68.5,0.824,-0.122,0.829,0.66,0.202,Developed,Europe,Europe,29
Uruguay,2020,6.31,9.937,0.921,69.2,0.908,-0.084,0.491,0.807,0.265,Developing,South America,South/Latin America,30
Kosovo,2020,6.294,,0.792,,0.88,,0.91,0.726,0.201,#N/A,Europe,Europe,31
Cyprus,2020,6.26,,0.806,74.1,0.763,,0.816,0.759,0.284,Developed,Europe,Europe,32
Kyrgyzstan,2020,6.25,8.503,0.902,64.7,0.935,0.103,0.931,0.803,0.258,Developing,Asia,Asia & Pacific,33
Latvia,2020,6.229,10.3,0.928,67.4,0.82,-0.078,0.809,0.714,0.202,Developed,Europe,Europe,34
Bahrain,2020,6.173,10.62,0.848,69.7,0.945,0.132,,0.79,0.297,Developing,Asia,Arab States,35
Kazakhstan,2020,6.168,10.135,0.966,65.8,0.872,-0.056,0.661,0.684,0.15,Developing,Asia,Asia & Pacific,36
Malta,2020,6.157,,0.938,72.2,0.931,,0.675,0.601,0.411,Developed,Europe,Europe,37
Chile,2020,6.151,10.02,0.888,70.1,0.781,0.033,0.812,0.815,0.336,Developing,South America,South/Latin America,38
Poland,2020,6.139,10.371,0.953,70.1,0.767,-0.007,0.787,0.76,0.329,Developed,Europe,Europe,39
Japan,2020,6.118,10.58,0.887,75.2,0.806,-0.259,0.609,0.742,0.186,Developed,Asia,Asia & Pacific,40
Brazil,2020,6.11,9.522,0.831,66.8,0.786,-0.053,0.729,0.692,0.389,Developing,South America,South/Latin America,41
Serbia,2020,6.042,9.788,0.852,69,0.843,0.149,0.824,0.603,0.358,Developed,Europe,Europe,42
Hungary,2020,6.038,10.335,0.943,68.4,0.771,-0.12,0.836,0.735,0.24,Developed,Europe,Europe,43
Mauritius,2020,6.015,9.972,0.893,67,0.843,-0.037,0.772,0.767,0.138,Developing,Africa,Africa,44
Mongolia,2020,6.011,9.396,0.918,62.7,0.718,0.141,0.843,0.636,0.26,Developing,Asia,Asia & Pacific,45
Mexico,2020,5.964,9.782,0.779,68.9,0.873,-0.119,0.778,0.81,0.292,Developing,North America,South/Latin America,46
Argentina,2020,5.901,9.85,0.897,69.2,0.823,-0.122,0.816,0.764,0.342,Developing,South America,South/Latin America,47
Thailand,2020,5.885,9.769,0.867,67.6,0.84,0.273,0.918,0.783,0.326,Developing,Asia,Asia & Pacific,48
Moldova,2020,5.812,9.462,0.874,66.4,0.859,-0.058,0.941,0.727,0.268,#N/A,Europe,Europe,49
South Korea,2020,5.793,10.648,0.808,74.2,0.711,-0.106,0.665,0.64,0.247,Developed,Asia,Asia & Pacific,50
