Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region,Rank
Denmark,2016,7.558,10.903,0.954,71.8,0.948,0.138,0.21,0.836,0.208,Developed,Europe,Europe,3
Netherlands,2016,7.541,10.899,0.926,72.1,0.907,0.239,0.433,0.838,0.215,Developed,Europe,Europe,4
Iceland,2016,7.51,10.904,0.985,73,0.952,0.281,0.719,0.874,0.158,Developed,Europe,Europe,5
Switzerland,2016,7.459,11.106,0.928,73.5,0.934,0.088,0.302,0.779,0.206,Developed,Europe,Europe,6
Sweden,2016,7.369,10.861,0.912,72.4,0.918,0.146,0.246,0.816,0.201,Developed,Europe,Europe,7
Australia,2016,7.25,10.791,0.942,73,0.922,0.239,0.399,0.791,0.236,Developed,Oceania,Asia & Pacific,8
Canada,2016,7.245,10.773,0.924,73.2,0.912,0.211,0.385,0.825,0.237,Developed,North America,North America,9
New Zealand,2016,7.226,10.623,0.937,72.8,0.927,0.266,0.278,0.833,0.207,Developed,Oceania,Asia & Pacific,10
Israel,2016,7.159,10.555,0.89,72.9,0.772,0.153,0.804,0.629,0.263,Developed,Asia,Europe,11
Costa Rica,2016,7.136,9.83,0.901,70.9,0.873,-0.032,0.781,0.874,0.281,Developing,North America,South/Latin America,12
Austria,2016,7.048,10.891,0.926,72.4,0.889,0.08,0.524,0.756,0.197,Developed,Europe,Europe,13
Ireland,2016,7.041,11.199,0.958,72.1,0.875,0.174,0.399,0.809,0.211,Developed,Europe,Europe,14
Luxembourg,2016,6.967,11.64,0.941,72.6,0.882,0.019,0.356,0.758,0.192,Developed,Europe,Europe,15
Belgium,2016,6.949,10.819,0.929,71.6,0.866,-0.056,0.497,0.765,0.26,Developed,Europe,Europe,16
Germany,2016,6.874,10.858,0.906,71.6,0.871,0.148,0.446,0.738,0.187,Developed,Europe,Europe,17
United Arab Emirates,2016,6.831,11.105,0.849,66.7,0.949,0.131,,0.775,0.245,Developed,Asia,Middle east,18
Mexico,2016,6.824,9.884,0.893,67.7,0.752,-0.153,0.809,0.859,0.22,Developing,North America,South/Latin America,19
United Kingdom,2016,6.824,10.724,0.954,71.9,0.821,0.25,0.458,0.776,0.23,Developed,Europe,Europe,20
United States,2016,6.804,10.986,0.897,68.5,0.758,0.144,0.739,0.806,0.264,Developed,North America,North America,21
Czech Republic,2016,6.736,10.518,0.931,69.3,0.85,-0.197,0.9,0.756,0.201,Developed,Europe,Europe,22
Malta,2016,6.591,10.599,0.93,72.2,0.916,0.345,0.696,0.687,0.355,Developed,Europe,Europe,23
Chile,2016,6.579,10.074,0.841,69.7,0.652,0.102,0.858,0.869,0.283,Developing,South America,South/Latin America,24
Taiwan Province of China,2016,6.513,10.855,0.895,,0.719,-0.049,0.811,0.833,0.108,Developed,Asia,Asia & Pacific,25
France,2016,6.475,10.69,0.885,73.4,0.787,-0.091,0.623,0.773,0.27,Developed,Europe,Europe,26
Saudi Arabia,2016,6.474,10.792,0.89,65.7,0.774,-0.132,,0.793,0.266,Developing,Asia,Middle east,27
Argentina,2016,6.427,10.051,0.883,68.4,0.848,-0.192,0.851,0.842,0.312,Developing,South America,South/Latin America,28
Brazil,2016,6.375,9.578,0.912,66,0.807,-0.1,0.781,0.763,0.302,Developing,South America,South/Latin America,29
Guatemala,2016,6.359,9.013,0.811,64.2,0.863,0.011,0.812,0.846,0.321,Developing,North America,South/Latin America,30
Spain,2016,6.319,10.56,0.942,73.8,0.768,-0.048,0.819,0.653,0.301,Developed,Europe,Europe,31
Colombia,2016,6.234,9.571,0.882,67.1,0.835,-0.1,0.898,0.794,0.294,Developing,South America,South/Latin America,32
Uruguay,2016,6.171,9.946,0.9,68.8,0.886,-0.072,0.676,0.842,0.283,Developing,South America,South/Latin America,33
Bahrain,2016,6.17,10.781,0.863,68.1,0.889,0.088,,0.787,0.283,Developing,Asia,Arab States,34
Poland,2016,6.162,10.266,0.917,68.5,0.871,-0.091,0.848,0.777,0.224,Developed,Europe,Europe,35
El Salvador,2016,6.14,9.025,0.794,65.5,0.8,-0.185,0.797,0.761,0.346,Developing,North America,South/Latin America,36
Panama,2016,6.118,10.287,0.882,69.4,0.884,-0.102,0.837,0.858,0.244,Developing,North America,South/Latin America,37
Ecuador,2016,6.115,9.355,0.842,67.9,0.846,-0.015,0.774,0.846,0.365,Developing,South America,South/Latin America,38
Thailand,2016,6.074,9.729,0.908,66.8,0.924,0.356,0.878,0.835,0.218,Developing,Asia,Asia & Pacific,39
Singapore,2016,6.033,11.419,0.925,76.2,0.904,0.143,0.047,0.824,0.111,Developing,Asia,Asia & Pacific,40
Nicaragua,2016,6.013,8.668,0.853,66.9,0.717,0.039,0.731,0.805,0.38,Developing,North America,South/Latin America,41
Slovakia,2016,5.993,10.31,0.945,68.3,0.7,-0.061,0.917,0.774,0.232,Developed,Europe,Europe,42
South Korea,2016,5.971,10.593,0.811,73,0.591,0.026,0.862,0.676,0.233,Developed,Asia,Asia & Pacific,43
Romania,2016,5.969,10.136,0.809,66.6,0.822,-0.115,0.949,0.694,0.258,Developed,Europe,Europe,44
Italy,2016,5.955,10.622,0.927,73.2,0.624,-0.081,0.903,0.685,0.339,Developed,Europe,Europe,45
