Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region
Botswana,2019,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,0.712,0.273,Developing,Africa,Africa
Brazil,2017,6.333,9.583,0.905,66.2,0.765,-0.175,0.794,0.716,0.308,Developing,South America,South/Latin America
Brazil,2018,6.191,9.589,0.882,66.4,0.751,-0.117,0.763,0.75,0.35,Developing,South America,South/Latin America
Brazil,2019,6.451,9.592,0.899,66.6,0.83,-0.062,0.762,0.761,0.337,Developing,South America,South/Latin America
Bulgaria,2017,5.097,9.969,0.942,66.6,0.689,-0.154,0.911,0.614,0.189,Developed,Europe,Europe
Bulgaria,2018,5.099,10.007,0.924,66.8,0.724,-0.176,0.952,0.639,0.189,Developed,Europe,Europe
Bulgaria,2019,5.108,10.047,0.948,67,0.822,-0.109,0.943,0.663,0.2,Developed,Europe,Europe
Burkina Faso,2017,4.647,7.627,0.785,53.4,0.614,-0.063,0.727,0.585,0.354,Developing,Africa,Africa
Burkina Faso,2018,4.927,7.665,0.665,53.9,0.721,-0.013,0.757,0.711,0.343,Developing,Africa,Africa
Burkina Faso,2019,4.741,7.691,0.683,54.4,0.678,-0.004,0.729,0.691,0.365,Developing,Africa,Africa
Burundi,2018,3.775,6.635,0.485,53.4,0.646,-0.024,0.599,0.666,0.363,Developing,Africa,Africa
Cambodia,2017,4.586,8.276,0.765,61.2,0.964,0.088,0.821,0.799,0.408,Developing,Asia,Asia & Pacific
Cambodia,2018,5.122,8.333,0.795,61.6,0.958,0.036,,0.845,0.414,Developing,Asia,Asia & Pacific
Cambodia,2019,4.998,8.387,0.759,62,0.957,0.013,0.828,0.844,0.39,Developing,Asia,Asia & Pacific
Cameroon,2017,5.074,8.176,0.695,51.9,0.767,-0.028,0.844,0.632,0.377,Developing,Africa,Africa
Cameroon,2018,5.251,8.19,0.677,52.7,0.816,0.036,0.884,0.642,0.356,Developing,Africa,Africa
Cameroon,2019,4.937,8.203,0.711,53.5,0.712,-0.008,0.817,0.629,0.326,Developing,Africa,Africa
Canada,2017,7.415,10.792,0.934,73.4,0.945,0.163,0.362,0.863,0.218,Developed,North America,North America
Canada,2018,7.175,10.798,0.923,73.6,0.946,0.106,0.372,0.824,0.259,Developed,North America,North America
Canada,2019,7.109,10.8,0.925,73.8,0.912,0.112,0.436,0.822,0.285,Developed,North America,North America
Central African Republic,2017,3.476,6.817,0.32,45.2,0.645,0.073,0.89,0.614,0.599,#N/A,Africa,Africa
Chad,2017,4.559,7.37,0.661,47.7,0.615,0.008,0.792,0.628,0.538,Developing,Africa,Africa
Chad,2018,4.486,7.363,0.577,48.2,0.65,0.024,0.763,0.553,0.544,Developing,Africa,Africa
Chad,2019,4.251,7.365,0.64,48.7,0.537,0.055,0.832,0.587,0.46,Developing,Africa,Africa
Chile,2017,6.32,10.072,0.88,69.8,0.79,-0.02,0.836,0.838,0.291,Developing,South America,South/Latin America
Chile,2018,6.436,10.097,0.89,69.9,0.789,-0.06,0.816,0.833,0.276,Developing,South America,South/Latin America
Chile,2019,5.942,10.095,0.869,70,0.659,-0.103,0.86,0.809,0.337,Developing,South America,South/Latin America
China,2017,5.099,9.571,0.772,69,0.878,-0.175,,0.821,0.214,Developing,Asia,Asia & Pacific
China,2018,5.131,9.632,0.788,69.3,0.895,-0.159,,0.856,0.19,Developing,Asia,Asia & Pacific
China,2019,5.144,9.688,0.822,69.6,0.927,-0.173,,0.891,0.147,Developing,Asia,Asia & Pacific
Colombia,2017,6.157,9.569,0.909,67.4,0.838,-0.157,0.875,0.837,0.299,Developing,South America,South/Latin America
Colombia,2018,5.984,9.579,0.871,67.7,0.851,-0.148,0.855,0.825,0.301,Developing,South America,South/Latin America
Colombia,2019,6.35,9.598,0.873,68,0.822,-0.172,0.854,0.822,0.322,Developing,South America,South/Latin America
Comoros,2018,3.973,8.028,0.621,57.2,0.56,0.086,0.794,0.748,0.337,#N/A,Africa,Arab States
Comoros,2019,4.609,8.033,0.632,57.5,0.538,0.077,0.762,0.736,0.336,#N/A,Africa,Arab States
Congo (Brazzaville),2017,4.884,8.146,0.655,57.3,0.778,-0.131,0.763,0.599,0.382,#N/A,Africa,Africa
Congo (Brazzaville),2018,5.49,8.136,0.621,57.9,0.699,-0.092,0.738,0.588,0.448,#N/A,Africa,Africa
Congo (Brazzaville),2019,5.213,8.101,0.625,58.5,0.686,-0.046,0.741,0.645,0.405,#N/A,Africa,Africa
Congo (Kinshasa),2017,4.311,6.966,0.67,52.9,0.704,0.068,0.809,0.551,0.404,#N/A,Africa,Africa
Costa Rica,2017,7.225,9.858,0.922,71.1,0.936,-0.076,0.742,0.874,0.275,Developing,North America,South/Latin America
Costa Rica,2018,7.141,9.874,0.876,71.3,0.942,-0.107,0.781,0.87,0.326,Developing,North America,South/Latin America
Costa Rica,2019,6.998,9.885,0.906,71.5,0.927,-0.146,0.836,0.848,0.303,Developing,North America,South/Latin America
Croatia,2017,5.343,10.189,0.77,69.6,0.716,-0.104,0.892,0.655,0.316,Developed,Europe,Europe
Croatia,2018,5.536,10.224,0.91,70.2,0.691,-0.151,0.925,0.582,0.29,Developed,Europe,Europe
Croatia,2019,5.626,10.258,0.936,70.8,0.739,-0.137,0.932,0.551,0.269,Developed,Europe,Europe
Cyprus,2017,6.062,10.539,0.819,73.5,0.812,0.043,0.851,0.784,0.301,Developed,Europe,Europe
Cyprus,2018,6.276,10.567,0.826,73.7,0.794,-0.022,0.848,0.75,0.298,Developed,Europe,Europe
Cyprus,2019,6.137,10.585,0.776,73.9,0.74,-0.008,0.865,0.763,0.29,Developed,Europe,Europe
Czech Republic,2017,6.79,10.558,0.901,69.8,0.832,-0.177,0.867,0.739,0.227,#N/A,Europe,Europe
Czech Republic,2018,7.034,10.583,0.929,70.3,0.79,-0.292,0.851,0.714,0.178,#N/A,Europe,Europe
Denmark,2017,7.594,10.916,0.952,72.1,0.955,0.155,0.181,0.824,0.206,Developed,Europe,Europe
Denmark,2018,7.649,10.935,0.958,72.4,0.935,0.018,0.151,0.821,0.206,Developed,Europe,Europe
Denmark,2019,7.693,10.954,0.958,72.7,0.963,0.02,0.174,0.862,0.181,Developed,Europe,Europe
Dominican Republic,2017,5.605,9.725,0.894,65.5,0.855,-0.121,0.76,0.739,0.275,#N/A,North America,South/Latin America
Dominican Republic,2018,5.433,9.782,0.862,65.8,0.867,-0.15,0.762,0.745,0.291,#N/A,North America,South/Latin America
Dominican Republic,2019,6.004,9.821,0.884,66.1,0.877,-0.123,0.746,0.784,0.264,#N/A,North America,South/Latin America
Ecuador,2017,5.84,9.36,0.849,68.2,0.879,-0.167,0.734,0.829,0.314,Developing,South America,South/Latin America
Ecuador,2018,6.128,9.355,0.851,68.5,0.869,-0.099,0.831,0.876,0.328,Developing,South America,South/Latin America
Ecuador,2019,5.809,9.339,0.808,68.8,0.83,-0.115,0.839,0.811,0.374,Developing,South America,South/Latin America
Egypt,2017,3.929,9.307,0.638,61.4,0.593,-0.152,,0.539,0.414,Developing,Africa,Middle east
Egypt,2018,4.005,9.338,0.759,61.7,0.682,-0.215,,0.492,0.285,Developing,Africa,Middle east
Egypt,2019,4.328,9.373,0.772,62,0.774,-0.199,,0.517,0.313,Developing,Africa,Middle east
El Salvador,2017,6.339,9.042,0.829,65.8,0.758,-0.172,0.778,0.849,0.268,Developing,North America,South/Latin America
El Salvador,2018,6.241,9.061,0.82,66.1,0.863,-0.095,0.801,0.86,0.27,Developing,North America,South/Latin America
El Salvador,2019,6.455,9.08,0.764,66.4,0.877,-0.109,0.682,0.871,0.271,Developing,North America,South/Latin America
Estonia,2017,5.938,10.429,0.936,68.4,0.862,-0.101,0.668,0.805,0.16,Developed,Europe,Europe
Estonia,2018,6.091,10.472,0.933,68.6,0.886,-0.141,0.621,0.795,0.163,Developed,Europe,Europe
Estonia,2019,6.035,10.511,0.934,68.8,0.887,-0.096,0.576,0.804,0.156,Developed,Europe,Europe
Ethiopia,2017,4.18,7.612,0.734,58,0.717,0.001,0.757,0.609,0.304,Developing,Africa,Africa
Ethiopia,2018,4.379,7.651,0.74,58.5,0.74,0.039,0.799,0.66,0.272,Developing,Africa,Africa
Ethiopia,2019,4.1,7.705,0.748,59,0.754,0.053,0.732,0.631,0.283,Developing,Africa,Africa
Finland,2017,7.788,10.768,0.964,71.8,0.962,-0.002,0.192,0.787,0.176,Developed,Europe,Europe
Finland,2018,7.858,10.783,0.962,71.9,0.938,-0.127,0.199,0.782,0.182,Developed,Europe,Europe
Finland,2019,7.78,10.792,0.937,72,0.948,-0.052,0.195,0.755,0.181,Developed,Europe,Europe
France,2017,6.635,10.711,0.931,73.6,0.834,-0.123,0.601,0.762,0.242,Developed,Europe,Europe
France,2018,6.666,10.727,0.921,73.8,0.816,-0.138,0.582,0.767,0.282,Developed,Europe,Europe
France,2019,6.69,10.74,0.958,74,0.827,-0.133,0.568,0.735,0.25,Developed,Europe,Europe
Gabon,2017,4.782,9.616,0.807,59.2,0.652,-0.228,0.868,0.634,0.446,Developing,Africa,Africa
Gabon,2018,4.783,9.599,0.785,59.7,0.719,-0.197,0.823,0.641,0.418,Developing,Africa,Africa
Gabon,2019,4.914,9.607,0.763,60.2,0.736,-0.203,0.846,0.693,0.413,Developing,Africa,Africa
Gambia,2017,4.118,7.637,0.697,54.7,0.812,0.111,0.572,0.838,0.277,#N/A,Africa,Africa
Gambia,2018,4.922,7.671,0.685,55,0.719,0.44,0.691,0.804,0.379,#N/A,Africa,Africa
Gambia,2019,5.164,7.699,0.694,55.3,0.677,0.41,0.798,0.773,0.401,#N/A,Africa,Africa
Georgia,2017,4.451,9.517,0.59,64.7,0.821,-0.244,0.59,0.581,0.21,Developing,Europe,Europe
Georgia,2018,4.659,9.565,0.617,64.5,0.775,-0.233,0.755,0.573,0.244,Developing,Europe,Europe
Georgia,2019,4.892,9.617,0.675,64.3,0.811,-0.26,0.647,0.604,0.244,Developing,Europe,Europe
Germany,2017,7.074,10.878,0.892,71.9,0.841,0.145,0.414,0.737,0.196,Developed,Europe,Europe
Germany,2018,7.118,10.89,0.92,72.2,0.877,0.034,0.496,0.78,0.243,Developed,Europe,Europe
Germany,2019,7.035,10.893,0.886,72.5,0.885,0.057,0.462,0.751,0.226,Developed,Europe,Europe
Ghana,2017,5.481,8.517,0.669,56.8,0.783,0.079,0.839,0.703,0.248,Developing,Africa,Africa
Ghana,2018,5.004,8.555,0.761,57.2,0.817,0.062,0.846,0.747,0.25,Developing,Africa,Africa
Ghana,2019,4.967,8.596,0.746,57.6,0.787,0.116,0.857,0.682,0.27,Developing,Africa,Africa
Greece,2017,5.148,10.278,0.753,72.2,0.438,-0.29,0.872,0.603,0.333,Developed,Europe,Europe
Greece,2018,5.409,10.299,0.794,72.4,0.564,-0.335,0.86,0.666,0.255,Developed,Europe,Europe
Greece,2019,5.952,10.319,0.891,72.6,0.614,-0.289,0.848,0.668,0.236,Developed,Europe,Europe
Guatemala,2017,6.325,9.026,0.826,64.5,0.915,-0.059,0.8,0.846,0.308,Developing,North America,South/Latin America
Guatemala,2018,6.627,9.042,0.841,64.8,0.91,-0.01,0.765,0.871,0.262,Developing,North America,South/Latin America
Guatemala,2019,6.262,9.064,0.774,65.1,0.901,-0.062,0.773,0.859,0.311,Developing,North America,South/Latin America
Guinea,2017,4.874,7.792,0.634,53.3,0.738,0.038,0.75,0.704,0.422,Developing,Africa,Africa
Guinea,2018,5.252,7.823,0.63,54.4,0.731,0.092,0.778,0.744,0.44,Developing,Africa,Africa
Guinea,2019,4.768,7.849,0.655,55.5,0.691,0.097,0.756,0.685,0.473,Developing,Africa,Africa
Haiti,2017,3.824,7.475,0.647,55.5,0.484,0.381,0.647,0.573,0.322,Developing,North America,South/Latin America
Haiti,2018,3.615,7.477,0.538,55.7,0.591,0.422,0.72,0.584,0.359,Developing,North America,South/Latin America
Honduras,2017,6.02,8.624,0.843,67,0.898,0.072,0.783,0.842,0.248,Developing,North America,South/Latin America
Honduras,2018,5.908,8.643,0.827,67.2,0.872,0.099,0.804,0.872,0.287,Developing,North America,South/Latin America
Honduras,2019,5.93,8.653,0.797,67.4,0.846,0.063,0.815,0.85,0.279,Developing,North America,South/Latin America
Hong Kong S.A.R. of China,2017,5.362,11,0.831,,0.831,0.14,0.416,0.64,0.201,#N/A,Asia,Asia & Pacific
Hong Kong S.A.R. of China,2019,5.659,11,0.856,,0.727,0.067,0.432,0.599,0.358,#N/A,Asia,Asia & Pacific
Hungary,2017,6.065,10.293,0.877,67.2,0.661,-0.139,0.886,0.735,0.181,Developed,Europe,Europe
Hungary,2018,5.936,10.344,0.941,67.6,0.693,-0.243,0.911,0.676,0.201,Developed,Europe,Europe
Hungary,2019,6,10.393,0.947,68,0.798,-0.195,0.884,0.743,0.18,Developed,Europe,Europe
Iceland,2017,7.476,10.925,0.967,73,0.939,0.246,0.727,0.895,0.148,Developed,Europe,Europe
Iceland,2019,7.533,10.931,0.982,73,0.959,,0.699,0.836,0.178,Developed,Europe,Europe
India,2017,4.046,8.73,0.607,59.7,0.886,-0.042,0.781,0.682,0.318,Developing,Asia,Asia & Pacific
